"","SiteCode","latitude","longitude"
"672","287",49.291092,-122.967491
"673","274",49.294333,-123.0456
"674","277",49.293616,-123.027978
"675","2",49.29705,-122.886241
"676","243",49.294558,-123.154666
"677","199",49.322575,-123.2649
"678","58",49.457492,-122.872291
"679","83",49.376667,-122.885
"680","239",49.274945,-123.104222
"681","86",49.364783,-122.888325
"682","213",49.2852,-123.249125
"683","188",49.33835,-123.223674
"684","20",49.331475,-122.915558
"685","49",49.419933,-122.860391
"686","73",49.416016,-122.877392
"687","210",49.278175,-123.261608
"688","84",49.373016,-122.886416
"689","93",49.343542,-122.9135
"690","31",49.34695,-122.891433
"691","104",49.317008,-122.941141
"692","11",49.303408,-122.92995
"693","13",49.31085,-122.931108
"694","161",49.305366,-123.075899
"695","7",49.292633,-122.915866
"696","77",49.399466,-122.88195
"697","143",49.303133,-122.973516
"698","195",49.335608,-123.254216
"699","34",49.3589,-122.882833
"700","234",49.271517,-123.131624
"701","63",49.456692,-122.88265
"702","164",49.310475,-123.090566
"703","255",49.302225,-123.1196
"704","230",49.279142,-123.149725
"705","282",49.294892,-122.995475
"706","226",49.273866,-123.172925
"707","59",49.460883,-122.876374
"708","155",49.297675,-123.041374
"709","249",49.313825,-123.149458
"710","137",49.296891,-122.937974
"711","22",49.328517,-122.907917
"712","236",49.269892,-123.120758
"713","91",49.350433,-122.906992
"714","223",49.275492,-123.190817
"715","69",49.432658,-122.872125
"716","212",49.282367,-123.252492
"717","266",49.289675,-123.088016
"718","27",49.33095,-122.89975
"719","76",49.403874,-122.881058
"720","50",49.424467,-122.8586
"721","184",49.33645,-123.200149
"722","247",49.308542,-123.156883
"723","70",49.428366,-122.872225
"724","48",49.415341,-122.861041
"725","88",49.358308,-122.894825
"726","264",49.290233,-123.100117
"727","78",49.395091,-122.882758
"728","231",49.279025,-123.143925
"729","66",49.4453,-122.875116
"730","273",49.294333,-123.05195
"731","167",49.30825,-123.109042
"732","101",49.325883,-122.936516
"733","156",49.29955,-123.047041
"734","124",49.293341,-122.879249
"735","267",49.289675,-123.082117
"736","153",49.29575,-123.029041
"737","158",49.303542,-123.05875
"738","75",49.408174,-122.880758
"739","190",49.3383,-123.23505
"740","252",49.310175,-123.135033
"741","258",49.293983,-123.119133
"742","111",49.292325,-122.955
"743","222",49.2765,-123.196616
"744","98",49.330658,-122.939533
"745","136",49.296133,-122.931691
"746","112",49.291375,-122.952208
"747","41",49.386233,-122.869466
"748","97",49.332141,-122.9334
"749","272",49.292967,-123.058142
"750","168",49.308047,-123.115247
"751","279",49.294083,-123.015416
"752","138",49.297416,-122.944158
"753","119",49.290275,-122.909024
"754","56",49.449749,-122.865175
"755","45",49.403408,-122.868942
"756","261",49.29585,-123.136739
"757","200",49.318375,-123.264908
"758","269",49.290283,-123.075824
"759","175",49.322483,-123.152258
"760","53",49.4374,-122.858425
"761","179",49.327908,-123.173241
"762","68",49.436883,-122.873325
"763","80",49.38715,-122.879774
"764","275",49.293075,-123.039933
"765","72",49.42015,-122.8755
"766","204",49.301775,-123.264942
"767","135",49.299566,-122.87775
"768","38",49.374683,-122.8727
"769","79",49.391225,-122.881683
"770","81",49.382875,-122.878433
"771","208",49.284525,-123.264966
"772","253",49.306883,-123.131233
"773","289",49.290012,-122.956697
"774","57",49.453749,-122.868258
"775","256",49.29995,-123.114791
"776","96",49.335183,-122.928575
"777","286",49.292283,-122.973624
"778","193",49.337242,-123.249225
"779","110",49.295961,-122.955313
"780","250",49.314558,-123.143733
"781","201",49.314125,-123.264916
"782","92",49.346733,-122.90925
"783","3",49.295383,-122.892308
"784","100",49.333584,-123.366527
"785","102",49.332839,-123.351775
"786","104",49.331647,-123.337151
"787","109",49.330606,-123.300918
"788","111",49.330758,-123.28644
"789","113",49.330805,-123.272188
"790","115",49.33719,-123.271893
"791","116",49.341589,-123.274443
"792","117",49.346175,-123.276022
"793","118",49.350449,-123.279086
"794","119",49.354483,-123.282748
"795","122",49.366763,-123.291067
"796","126",49.379952,-123.28046
"797","127",49.380681,-123.273906
"798","128",49.37837,-123.272591
"799","112",49.330895,-123.27918
"800","114",49.332903,-123.269211
"801","1",49.383606,-123.267809
"802","121",49.362881,-123.287511
"803","101",49.33349,-123.359202
"804","10",49.422723,-123.236879
"805","103",49.332189,-123.344286
"806","105",49.331322,-123.330162
"807","120",49.358564,-123.285574
"808","12",49.432485,-123.2386
